#EEP   M/Mo  LogTeff   LogG  LogL/Lo   F336W   F439W   F450W   F555W   F606W   F791W   F814W   F850L
 194  0.809548  3.7334  3.2420  0.9910  3.0570  3.2319  3.0109  2.5363  2.3005  1.7155  1.7000  1.5103
 195  0.809726  3.7329  3.2242  1.0069  3.0246  3.1954  2.9737  2.4978  2.2614  1.6752  1.6597  1.4694
 196  0.809904  3.7324  3.2063  1.0229  2.9916  3.1584  2.9359  2.4587  2.2218  1.6345  1.6189  1.4282
 197  0.810080  3.7319  3.1883  1.0391  2.9581  3.1209  2.8977  2.4192  2.1819  1.5934  1.5779  1.3866
 198  0.810255  3.7314  3.1702  1.0555  2.9242  3.0831  2.8592  2.3794  2.1417  1.5521  1.5365  1.3448
 199  0.810429  3.7310  3.1520  1.0719  2.8899  3.0448  2.8201  2.3392  2.1010  1.5105  1.4948  1.3026
 200  0.810600  3.7305  3.1334  1.0888  2.8545  3.0055  2.7801  2.2981  2.0594  1.4679  1.4522  1.2595
 201  0.810766  3.7301  3.1142  1.1063  2.8177  2.9646  2.7386  2.2553  2.0163  1.4237  1.4079  1.2148
 202  0.810925  3.7296  3.0941  1.1245  2.7797  2.9222  2.6954  2.2109  1.9714  1.3777  1.3619  1.1683
 203  0.811080  3.7290  3.0732  1.1432  2.7416  2.8793  2.6515  2.1655  1.9254  1.3304  1.3146  1.1204
 204  0.811230  3.7285  3.0523  1.1623  2.7007  2.8341  2.6057  2.1185  1.8781  1.2822  1.2662  1.0716
 205  0.811376  3.7280  3.0308  1.1819  2.6601  2.7887  2.5594  2.0709  1.8300  1.2329  1.2169  1.0217
 206  0.811517  3.7275  3.0089  1.2018  2.6185  2.7423  2.5122  2.0223  1.7809  1.1826  1.1666  0.9710
 207  0.811655  3.7269  2.9864  1.2220  2.5770  2.6956  2.4645  1.9731  1.7312  1.1316  1.1155  0.9192
 208  0.811789  3.7263  2.9636  1.2425  2.5350  2.6481  2.4161  1.9232  1.6807  1.0797  1.0635  0.8667
 209  0.811919  3.7257  2.9404  1.2633  2.4926  2.6002  2.3672  1.8726  1.6295  1.0270  1.0108  0.8134
 210  0.812045  3.7251  2.9168  1.2844  2.4499  2.5517  2.3177  1.8213  1.5776  0.9736  0.9574  0.7593
 211  0.812167  3.7244  2.8928  1.3058  2.4071  2.5028  2.2677  1.7695  1.5250  0.9195  0.9032  0.7045
 212  0.812285  3.7237  2.8685  1.3274  2.3641  2.4535  2.2173  1.7171  1.4720  0.8648  0.8484  0.6490
 213  0.812399  3.7230  2.8441  1.3492  2.3206  2.4036  2.1663  1.6641  1.4183  0.8094  0.7930  0.5930
 214  0.812510  3.7223  2.8193  1.3713  2.2771  2.3534  2.1150  1.6107  1.3641  0.7535  0.7370  0.5362
 215  0.812617  3.7216  2.7942  1.3935  2.2336  2.3030  2.0633  1.5568  1.3094  0.6969  0.6804  0.4789
 216  0.812720  3.7209  2.7688  1.4160  2.1900  2.2523  2.0113  1.5025  1.2542  0.6399  0.6233  0.4211
 217  0.812740  3.7208  2.7638  1.4205  2.1814  2.2423  2.0010  1.4918  1.2433  0.6286  0.6120  0.4096
 218  0.812760  3.7206  2.7588  1.4249  2.1727  2.2322  1.9907  1.4810  1.2324  0.6173  0.6007  0.3981
 219  0.812780  3.7205  2.7537  1.4294  2.1641  2.2222  1.9804  1.4701  1.2214  0.6059  0.5893  0.3866
 220  0.812799  3.7203  2.7486  1.4339  2.1554  2.2120  1.9699  1.4593  1.2103  0.5944  0.5778  0.3750
 221  0.812819  3.7202  2.7435  1.4384  2.1468  2.2019  1.9595  1.4484  1.1992  0.5829  0.5663  0.3633
 222  0.812838  3.7200  2.7383  1.4430  2.1381  2.1917  1.9491  1.4374  1.1881  0.5714  0.5547  0.3516
 223  0.812858  3.7198  2.7332  1.4476  2.1294  2.1815  1.9386  1.4264  1.1769  0.5598  0.5431  0.3398
 224  0.812877  3.7197  2.7279  1.4521  2.1209  2.1714  1.9281  1.4154  1.1656  0.5481  0.5314  0.3279
 225  0.812896  3.7195  2.7228  1.4567  2.1118  2.1609  1.9174  1.4042  1.1543  0.5365  0.5197  0.3161
 226  0.812915  3.7194  2.7176  1.4614  2.1030  2.1506  1.9068  1.3931  1.1430  0.5247  0.5080  0.3042
