EEP   M/Mo    LogTeff  LogG   LogL/Lo F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  
 131  0.839898  3.8408  4.1842  0.4945  3.8698  3.7358  3.6237  3.4703  3.5329  3.4130  3.3077  3.1857  3.1983  3.0992  3.0797  3.0295
 132  0.841769  3.8411  4.1774  0.5036  3.8453  3.7117  3.5999  3.4471  3.5095  3.3899  3.2850  3.1634  3.1759  3.0771  3.0577  3.0078
 133  0.843636  3.8415  4.1704  0.5130  3.8206  3.6874  3.5758  3.4235  3.4857  3.3665  3.2619  3.1408  3.1531  3.0547  3.0354  2.9856
 134  0.845498  3.8418  4.1631  0.5224  3.7957  3.6629  3.5515  3.3996  3.4617  3.3429  3.2385  3.1179  3.1300  3.0319  3.0127  2.9631
 135  0.847353  3.8420  4.1556  0.5319  3.7706  3.6381  3.5270  3.3755  3.4374  3.3189  3.2148  3.0945  3.1066  3.0088  2.9896  2.9402
 136  0.849196  3.8422  4.1478  0.5415  3.7453  3.6132  3.5022  3.3511  3.4129  3.2946  3.1907  3.0708  3.0828  2.9852  2.9661  2.9168
 137  0.851029  3.8424  4.1397  0.5513  3.7199  3.5880  3.4772  3.3264  3.3881  3.2701  3.1664  3.0468  3.0587  2.9613  2.9423  2.8931
 138  0.852848  3.8425  4.1313  0.5611  3.6944  3.5628  3.4521  3.3016  3.3632  3.2454  3.1418  3.0224  3.0342  2.9371  2.9180  2.8689
 139  0.854653  3.8426  4.1226  0.5710  3.6688  3.5373  3.4268  3.2765  3.3380  3.2204  3.1169  2.9977  3.0095  2.9125  2.8935  2.8444
 140  0.856442  3.8427  4.1136  0.5810  3.6432  3.5118  3.4013  3.2512  3.3126  3.1951  3.0918  2.9727  2.9844  2.8876  2.8685  2.8194
 141  0.858213  3.8426  4.1043  0.5911  3.6175  3.4862  3.3757  3.2257  3.2871  3.1696  3.0663  2.9473  2.9590  2.8623  2.8432  2.7941
 142  0.859964  3.8425  4.0947  0.6012  3.5918  3.4605  3.3500  3.2000  3.2614  3.1440  3.0407  2.9216  2.9333  2.8366  2.8175  2.7683
 143  0.861693  3.8424  4.0847  0.6115  3.5661  3.4347  3.3241  3.1741  3.2356  3.1181  3.0147  2.8955  2.9073  2.8106  2.7915  2.7421
 144  0.863399  3.8421  4.0743  0.6218  3.5404  3.4089  3.2983  3.1481  3.2096  3.0920  2.9886  2.8691  2.8810  2.7843  2.7650  2.7154
 145  0.865080  3.8418  4.0635  0.6321  3.5149  3.3831  3.2723  3.1220  3.1835  3.0657  2.9622  2.8424  2.8544  2.7575  2.7382  2.6884
 146  0.866733  3.8414  4.0523  0.6425  3.4894  3.3574  3.2463  3.0957  3.1574  3.0393  2.9355  2.8153  2.8274  2.7304  2.7110  2.6608
 147  0.868358  3.8409  4.0406  0.6530  3.4641  3.3317  3.2204  3.0694  3.1312  3.0127  2.9087  2.7879  2.8002  2.7030  2.6833  2.6328
 148  0.869952  3.8403  4.0285  0.6635  3.4391  3.3061  3.1945  3.0429  3.1049  2.9860  2.8816  2.7601  2.7727  2.6751  2.6553  2.6044
 149  0.871514  3.8395  4.0158  0.6740  3.4143  3.2807  3.1686  3.0164  3.0786  2.9592  2.8544  2.7321  2.7449  2.6469  2.6269  2.5754
 150  0.873041  3.8387  4.0027  0.6845  3.3899  3.2555  3.1429  2.9899  3.0524  2.9323  2.8270  2.7037  2.7169  2.6184  2.5981  2.5460
 151  0.874533  3.8377  3.9889  0.6951  3.3659  3.2306  3.1174  2.9634  3.0263  2.9054  2.7995  2.6749  2.6885  2.5893  2.5689  2.5160
 152  0.875987  3.8366  3.9745  0.7057  3.3425  3.2061  3.0921  2.9370  3.0002  2.8784  2.7718  2.6458  2.6599  2.5599  2.5392  2.4855
 153  0.877405  3.8353  3.9594  0.7162  3.3196  3.1819  3.0671  2.9106  2.9744  2.8514  2.7439  2.6164  2.6310  2.5302  2.5090  2.4544
 154  0.878783  3.8338  3.9437  0.7268  3.2973  3.1581  3.0424  2.8843  2.9486  2.8244  2.7160  2.5867  2.6019  2.5000  2.4785  2.4229
